problem,category,dimension,exact_value,exact_angle,gurobi_angle,gurobi_time,bfas_angle,bfas_time,eao_ref,srpl_ref
Schur_vs_R+_n5,schur_vs_nonneg,5,-0.894427,0.852416,0.852416,0.1134,0.852416,0.3310,,
Schur_vs_R+_n10,schur_vs_nonneg,10,-0.948683,0.897584,0.897584,0.2016,0.897584,48.3153,,
Schur_vs_R+_n20,schur_vs_nonneg,20,-0.974679,0.928217,0.928218,20.1493,0.750000,60.0,,
Schur_vs_R+_n50,schur_vs_nonneg,50,-0.989949,0.954833,0.954833,60.0,0.750000,60.0,,
Schur_vs_R+_n100,schur_vs_nonneg,100,-0.994987,0.968116,0.968116,60.0,0.750000,60.0,,
Schur_vs_R+_n200,schur_vs_nonneg,200,-0.997494,0.977473,0.977473,60.0,0.750000,60.0,,
Schur_vs_R+_n500,schur_vs_nonneg,500,-0.998998,0.985760,0.985756,60.0,0.750000,60.0,,
Schur_vs_Schur_n5,schur_vs_schur,5,-0.809017,0.800000,0.800001,0.2508,0.800000,0.3856,,
Schur_vs_Schur_n10,schur_vs_schur,10,-0.951057,0.900000,0.900000,60.0,0.900000,60.0,,
Schur_vs_Schur_n20,schur_vs_schur,20,-0.987688,0.950000,0.950000,60.0,0.859157,60.0,,
Schur_vs_Schur_n50,schur_vs_schur,50,-0.998027,0.980000,0.980000,60.0,0.804087,60.0,,
Schur_vs_Schur_n100,schur_vs_schur,100,-0.999507,0.990000,0.936315,60.0,0.750000,60.0,,
Schur_vs_Schur_n200,schur_vs_schur,200,-0.999877,0.995000,0.994996,60.0,0.750000,60.0,,
Schur_vs_Schur_n500,schur_vs_schur,500,-0.999970,0.998000,0.998011,60.0,0.750000,60.0,,
Circulant_PSD_n13,circulant_psd,13,,-0.391381,0.762950,0.854,0.762950,0.333,,
Circulant_PSD_n15,circulant_psd,15,,-0.412733,0.757765,25.061,0.757765,0.356,,
Circulant_PSD_n17,circulant_psd,17,,-0.397773,0.764971,60.0,0.764971,1.114,,
Circulant_PSD_n19,circulant_psd,19,,-0.385455,0.768062,60.0,0.768062,4.418,,
Circulant_PSD_n21,circulant_psd,21,,-0.383902,0.768769,60.0,0.768768,19.953,,
Circulant_PSD_n23,circulant_psd,23,,-0.396260,0.766370,60.0,0.766370,60.0,,
Biclique_100x100_d0.2,biclique,100,,,,,,,2500,66
Biclique_300x300_d0.3,biclique,300,,,,,,,110,114
Biclique_100x100_d0.71,biclique,100,,,,,,,6400,6400
Biclique_10000x100_d0.03,biclique,10000,,,,,,,44,46
PSD_vs_Nonneg_n20,psd_vs_nonneg,20,,,0.7719,,,,,0.7697
PSD_vs_Nonneg_n30,psd_vs_nonneg,30,,,0.7757,,,,,0.7741
PSD_vs_Nonneg_n40,psd_vs_nonneg,40,,,0.7789,,,,,0.7768
PSD_vs_Nonneg_n50,psd_vs_nonneg,50,,,0.7812,,,,,0.7790
PSD_vs_Nonneg_n60,psd_vs_nonneg,60,,,0.7837,,,,,0.7805
